Country,Year,GDP_Projected
Afghanistan,2026,12742.300000000047
Afghanistan,2027,11898.200000000186
Afghanistan,2028,11054.100000000093
Afghanistan,2029,10210.0
Afghanistan,2030,9365.90000000014
Albania,2026,31649.53333333321
Albania,2027,34427.447619047016
Albania,2028,37205.361904761754
Albania,2029,39983.27619047556
Albania,2030,42761.1904761903
Algeria,2026,304302.3999999985
Algeria,2027,326583.08571428806
Algeria,2028,348863.77142857015
Algeria,2029,371144.4571428597
Algeria,2030,393425.1428571418
Andorra,2026,4404.066666666651
Andorra,2027,4641.180952380935
Andorra,2028,4878.295238095219
Andorra,2029,5115.409523809503
Andorra,2030,5352.523809523787
Angola,2026,135013.0
Angola,2027,143474.2857142873
Angola,2028,151935.57142857462
Angola,2029,160396.8571428582
Angola,2030,168858.14285714552
Antigua and Barbuda,2026,2595.4666666666744
Antigua and Barbuda,2027,2790.1238095238223
Antigua and Barbuda,2028,2984.78095238097
Antigua and Barbuda,2029,3179.438095238118
Antigua and Barbuda,2030,3374.095238095266
Argentina,2026,771769.1333333254
Argentina,2027,827285.7904761881
Argentina,2028,882802.4476190358
Argentina,2029,938319.1047618985
Argentina,2030,993835.7619047612
Armenia,2026,31080.06666666735
Armenia,2027,34154.75238095224
Armenia,2028,37229.43809523806
Armenia,2029,40304.12380952388
Armenia,2030,43378.8095238097
Aruba,2026,4550.066666666651
Aruba,2027,4878.895238095196
Aruba,2028,5207.723809523741
Aruba,2029,5536.552380952402
Aruba,2030,5865.380952380947
Australia,2026,1924333.2666666508
Australia,2027,1995339.7238095105
Australia,2028,2066346.1809523702
Australia,2029,2137352.63809523
Australia,2030,2208359.0952380896
Austria,2026,558829.7333333343
Austria,2027,577768.990476191
Austria,2028,596708.2476190478
Austria,2029,615647.5047619045
Austria,2030,634586.7619047612
Azerbaijan,2026,90287.73333333433
Azerbaijan,2027,96944.27619047649
Azerbaijan,2028,103600.81904762052
Azerbaijan,2029,110257.36190476269
Azerbaijan,2030,116913.90476190485
Bahamas,2026,16871.133333333302
Bahamas,2027,17941.93333333358
Bahamas,2028,19012.733333333395
Bahamas,2029,20083.53333333321
Bahamas,2030,21154.33333333349
Bahrain,2026,51816.46666666679
Bahrain,2027,54044.98095238116
Bahrain,2028,56273.49523809552
Bahrain,2029,58502.00952380989
Bahrain,2030,60730.52380952425
Bangladesh,2026,492943.2666666694
Bangladesh,2027,509012.00952380896
Bangladesh,2028,525080.7523809522
Bangladesh,2029,541149.4952380955
Bangladesh,2030,557218.2380952388
Barbados,2026,8162.666666666628
Barbados,2027,8678.666666666628
Barbados,2028,9194.666666666628
Barbados,2029,9710.666666666628
Barbados,2030,10226.666666666628
Belarus,2026,75453.2666666666
Belarus,2027,77116.72380952351
Belarus,2028,78780.18095238088
Belarus,2029,80443.63809523778
Belarus,2030,82107.09523809515
Belgium,2026,722202.9333333373
Belgium,2027,751553.104761906
Belgium,2028,780903.2761904821
Belgium,2029,810253.4476190507
Belgium,2030,839603.6190476194
Belize,2026,4010.4666666666744
Belize,2027,4326.980952380924
Belize,2028,4643.495238095289
Belize,2029,4960.009523809538
Belize,2030,5276.523809523787
Benin,2026,23566.0
Benin,2027,24871.714285714086
Benin,2028,26177.428571428172
Benin,2029,27483.142857142724
Benin,2030,28788.85714285681
Bhutan,2026,3483.266666666663
Bhutan,2027,3644.438095238118
Bhutan,2028,3805.609523809515
Bhutan,2029,3966.78095238097
Bhutan,2030,4127.952380952367
Bolivia,2026,57501.06666666642
Bolivia,2027,60971.18095238041
Bolivia,2028,64441.295238095336
Bolivia,2029,67911.40952380933
Bolivia,2030,71381.52380952332
Bosnia and Herzegovina,2026,31737.466666666325
Bosnia and Herzegovina,2027,33489.69523809524
Bosnia and Herzegovina,2028,35241.923809523694
Bosnia and Herzegovina,2029,36994.152380952146
Bosnia and Herzegovina,2030,38746.3809523806
Botswana,2026,21020.46666666679
Botswana,2027,21684.980952380924
Botswana,2028,22349.49523809529
Botswana,2029,23014.009523809655
Botswana,2030,23678.523809523787
Brazil,2026,2430238.4000000358
Brazil,2027,2572829.2285714746
Brazil,2028,2715420.0571428537
Brazil,2029,2858010.8857142925
Brazil,2030,3000601.7142857313
Brunei,2026,17155.399999999907
Brunei,2027,17806.514285714366
Brunei,2028,18457.62857142859
Brunei,2029,19108.742857142817
Brunei,2030,19759.857142857043
Bulgaria,2026,128927.0
Bulgaria,2027,138262.0
Bulgaria,2028,147597.0
Bulgaria,2029,156932.0
Bulgaria,2030,166267.0
Burkina Faso,2026,27601.19999999972
Burkina Faso,2027,29326.114285713993
Burkina Faso,2028,31051.028571428265
Burkina Faso,2029,32775.94285714254
Burkina Faso,2030,34500.85714285681
Burundi,2026,6626.666666666744
Burundi,2027,7277.095238095382
Burundi,2028,7927.52380952402
Burundi,2029,8577.952380952425
Burundi,2030,9228.380952381063
Cambodia,2026,52950.40000000037
Cambodia,2027,56080.799999999814
Cambodia,2028,59211.200000000186
Cambodia,2029,62341.60000000056
Cambodia,2030,65472.0
Cameroon,2026,58452.33333333302
Cameroon,2027,61418.761904761195
Cameroon,2028,64385.19047618937
Cameroon,2029,67351.61904761847
Cameroon,2030,70318.04761904664
Canada,2026,2433517.5333333313
Canada,2027,2533169.590476215
Canada,2028,2632821.6476190686
Canada,2029,2732473.7047619224
Canada,2030,2832125.761904776
Cape Verde,2026,3089.4666666666744
Cape Verde,2027,3291.552380952402
Cape Verde,2028,3493.6380952381296
Cape Verde,2029,3695.723809523799
Cape Verde,2030,3897.8095238095266
Central African Republic,2026,2992.666666666657
Central African Republic,2027,3095.380952380947
Central African Republic,2028,3198.0952380952367
Central African Republic,2029,3300.8095238095266
Central African Republic,2030,3403.5238095238165
Chad,2026,20278.200000000186
Chad,2027,21028.40000000014
Chad,2028,21778.600000000093
Chad,2029,22528.800000000047
Chad,2030,23279.0
Chile,2026,366157.0666666664
Chile,2027,381230.46666666865
Chile,2028,396303.86666666716
Chile,2029,411377.2666666657
Chile,2030,426450.6666666679
China,2026,20202929.4666667
China,2027,20839383.55238104
China,2028,21475837.63809538
China,2029,22112291.72380948
China,2030,22748745.80952382
Colombia,2026,468630.9333333373
Colombia,2027,500282.39047618955
Colombia,2028,531933.8476190493
Colombia,2029,563585.3047619015
Colombia,2030,595236.7619047612
Comoros,2026,1573.2666666666628
Comoros,2027,1639.2952380952192
Comoros,2028,1705.3238095238048
Comoros,2029,1771.3523809523613
Comoros,2030,1837.3809523809468
Costa Rica,2026,111127.86666666716
Costa Rica,2027,119972.20952381194
Costa Rica,2028,128816.55238095298
Costa Rica,2029,137660.89523809776
Costa Rica,2030,146505.2380952388
Croatia,2026,107884.73333333433
Croatia,2027,116132.41904762015
Croatia,2028,124380.10476190597
Croatia,2029,132627.7904761918
Croatia,2030,140875.4761904776
Cyprus,2026,41238.66666666698
Cyprus,2027,43701.238095238805
Cyprus,2028,46163.80952381063
Cyprus,2029,48626.38095238153
Cyprus,2030,51088.95238095336
Czech Republic,2026,390274.6666666642
Czech Republic,2027,411672.3809523806
Czech Republic,2028,433070.095238097
Czech Republic,2029,454467.809523806
Czech Republic,2030,475865.5238095224
Democratic Republic of the Congo,2026,83365.33333333395
Democratic Republic of the Congo,2027,88955.6190476194
Democratic Republic of the Congo,2028,94545.90476190485
Democratic Republic of the Congo,2029,100136.1904761903
Democratic Republic of the Congo,2030,105726.47619047575
Denmark,2026,462733.9333333336
Denmark,2027,478160.53333333135
Denmark,2028,493587.13333333284
Denmark,2029,509013.7333333343
Denmark,2030,524440.3333333321
Djibouti,2026,4826.266666666605
Djibouti,2027,5116.5809523809
Djibouti,2028,5406.895238095196
Djibouti,2029,5697.209523809492
Djibouti,2030,5987.523809523787
Dominica,2026,792.8000000000029
Dominica,2027,840.3142857142811
Dominica,2028,887.8285714285739
Dominica,2029,935.3428571428522
Dominica,2030,982.8571428571449
Dominican Republic,2026,144286.7333333306
Dominican Republic,2027,154047.70476190373
Dominican Republic,2028,163808.67619047314
Dominican Republic,2029,173569.64761904627
Dominican Republic,2030,183330.61904761568
Ecuador,2026,134393.59999999963
Ecuador,2027,140042.771428572
Ecuador,2028,145691.94285714254
Ecuador,2029,151341.11428571492
Ecuador,2030,156990.28571428545
Egypt,2026,363100.06666667014
Egypt,2027,352303.18095238507
Egypt,2028,341506.29523809627
Egypt,2029,330709.4095238112
Egypt,2030,319912.5238095261
El Salvador,2026,40014.06666666735
El Salvador,2027,42301.18095238134
El Salvador,2028,44588.29523809627
El Salvador,2029,46875.40952381026
El Salvador,2030,49162.52380952425
Equatorial Guinea,2026,13582.466666666674
Equatorial Guinea,2027,13967.266666666605
Equatorial Guinea,2028,14352.066666666651
Equatorial Guinea,2029,14736.866666666698
Equatorial Guinea,2030,15121.666666666628
Estonia,2026,47965.93333333358
Estonia,2027,50409.10476190504
Estonia,2028,52852.27619047649
Estonia,2029,55295.44761904795
Estonia,2030,57738.6190476194
Eswatini,2026,5721.600000000035
Eswatini,2027,5967.485714285751
Eswatini,2028,6213.371428571467
Eswatini,2029,6459.257142857183
Eswatini,2030,6705.142857142899
Ethiopia,2026,150190.3999999985
Ethiopia,2027,158093.79999999888
Ethiopia,2028,165997.19999999925
Ethiopia,2029,173900.59999999963
Ethiopia,2030,181804.0
Federated States of Micronesia,2026,522.6666666666642
Federated States of Micronesia,2027,548.3809523809468
Federated States of Micronesia,2028,574.0952380952294
Federated States of Micronesia,2029,599.8095238095193
Federated States of Micronesia,2030,625.5238095238019
Fiji,2026,6678.733333333395
Fiji,2027,7093.847619047621
Fiji,2028,7508.9619047619635
Fiji,2029,7924.076190476189
Fiji,2030,8339.190476190532
Finland,2026,310276.0666666664
Finland,2027,315950.6095238086
Finland,2028,321625.1523809526
Finland,2029,327299.6952380948
Finland,2030,332974.23809523694
France,2026,3340387.3333333433
France,2027,3445190.6190476418
France,2028,3549993.9047619402
France,2029,3654797.190476209
France,2030,3759600.4761905074
Gabon,2026,22287.93333333335
Gabon,2027,23106.961904761847
Gabon,2028,23925.99047619058
Gabon,2029,24745.019047619076
Gabon,2030,25564.047619047575
Gambia,2026,2933.0666666667094
Gambia,2027,3120.4666666666744
Gambia,2028,3307.8666666666977
Gambia,2029,3495.266666666721
Gambia,2030,3682.666666666686
Georgia,2026,41352.59999999963
Georgia,2027,45560.34285714291
Georgia,2028,49768.08571428619
Georgia,2029,53975.82857142761
Georgia,2030,58183.5714285709
Germany,2026,4929687.266666651
Germany,2027,5081722.295238078
Germany,2028,5233757.3238095045
Germany,2029,5385792.352380931
Germany,2030,5537827.380952358
Ghana,2026,90008.93333333265
Ghana,2027,93099.81904761866
Ghana,2028,96190.70476190373
Ghana,2029,99281.59047618974
Ghana,2030,102372.47619047575
Greece,2026,284888.6666666679
Greece,2027,299776.095238097
Greece,2028,314663.5238095261
Greece,2029,329550.9523809552
Greece,2030,344438.3809523843
Grenada,2026,1563.6000000000058
Grenada,2027,1649.4857142857218
Grenada,2028,1735.3714285714377
Grenada,2029,1821.2571428571537
Grenada,2030,1907.1428571428696
Guatemala,2026,130109.7333333306
Guatemala,2027,138807.56190476194
Guatemala,2028,147505.39047618955
Guatemala,2029,156203.21904761717
Guatemala,2030,164901.04761904478
Guinea,2026,32583.333333333023
Guinea,2027,35769.047619047575
Guinea,2028,38954.76190476213
Guinea,2029,42140.47619047575
Guinea,2030,45326.1904761903
Guinea-Bissau,2026,2447.333333333314
Guinea-Bissau,2027,2602.333333333314
Guinea-Bissau,2028,2757.333333333314
Guinea-Bissau,2029,2912.333333333314
Guinea-Bissau,2030,3067.333333333314
Guyana,2026,31319.333333333954
Guyana,2027,35713.90476190485
Guyana,2028,40108.47619047575
Guyana,2029,44503.047619048506
Guyana,2030,48897.6190476194
Haiti,2026,33516.46666666679
Haiti,2027,36676.83809523843
Haiti,2028,39837.209523810074
Haiti,2029,42997.580952380784
Haiti,2030,46157.952380952425
Honduras,2026,42451.59999999963
Honduras,2027,45450.200000000186
Honduras,2028,48448.799999999814
Honduras,2029,51447.39999999944
Honduras,2030,54446.0
Hong Kong,2026,434004.6666666679
Hong Kong,2027,449208.5238095261
Hong Kong,2028,464412.3809523843
Hong Kong,2029,479616.2380952388
Hong Kong,2030,494820.095238097
Hungary,2026,253861.80000000075
Hungary,2027,269522.3142857142
Hungary,2028,285182.8285714276
Hungary,2029,300843.3428571448
Hungary,2030,316503.8571428582
Iceland,2026,38809.66666666698
Iceland,2027,41501.952380952425
Iceland,2028,44194.23809523787
Iceland,2029,46886.52380952425
Iceland,2030,49578.8095238097
India,2026,4495007.600000024
India,2027,4782970.057142854
India,2028,5070932.514285684
India,2029,5358894.971428633
India,2030,5646857.428571463
Indonesia,2026,1547134.1333333254
Indonesia,2027,1619559.219047606
Indonesia,2028,1691984.3047619164
Indonesia,2029,1764409.390476197
Indonesia,2030,1836834.4761904776
Iran,2026,435395.6666666642
Iran,2027,465686.5238095224
Iran,2028,495977.3809523806
Iran,2029,526268.2380952388
Iran,2030,556559.095238097
Iraq,2026,303961.0
Iraq,2027,319964.8571428582
Iraq,2028,335968.7142857164
Iraq,2029,351972.5714285709
Iraq,2030,367976.4285714291
Ireland,2026,635985.7333333343
Ireland,2027,663196.990476191
Ireland,2028,690408.2476190478
Ireland,2029,717619.5047619045
Ireland,2030,744830.7619047612
Israel,2026,610442.4666666687
Israel,2027,639057.6952380985
Israel,2028,667672.9238095209
Israel,2029,696288.1523809507
Israel,2030,724903.3809523806
Italy,2026,2551245.1333333254
Italy,2027,2647195.219047606
Italy,2028,2743145.3047619164
Italy,2029,2839095.390476197
Italy,2030,2935045.4761904776
Ivory Coast,2026,98855.73333333433
Ivory Coast,2027,104803.27619047649
Ivory Coast,2028,110750.81904762052
Ivory Coast,2029,116698.36190476269
Ivory Coast,2030,122645.90476190485
Jamaica,2026,23338.866666666698
Jamaica,2027,24942.495238095056
Jamaica,2028,26546.12380952388
Jamaica,2029,28149.75238095224
Jamaica,2030,29753.380952381063
Japan,2026,3720930.6666666865
Japan,2027,3508759.809523821
Japan,2028,3296588.952380955
Japan,2029,3084418.0952380896
Japan,2030,2872247.238095224
Jordan,2026,58456.53333333228
Jordan,2027,60894.733333332464
Jordan,2028,63332.93333333265
Jordan,2029,65771.13333333284
Jordan,2030,68209.33333333302
Kazakhstan,2026,334818.13333333284
Kazakhstan,2027,361867.2190476209
Kazakhstan,2028,388916.3047619015
Kazakhstan,2029,415965.39047618955
Kazakhstan,2030,443014.4761904776
Kenya,2026,132562.26666666567
Kenya,2027,137730.58095237985
Kenya,2028,142898.89523809403
Kenya,2029,148067.2095238082
Kenya,2030,153235.5238095224
Kiribati,2026,334.8666666666686
Kiribati,2027,350.2095238095244
Kiribati,2028,365.5523809523838
Kiribati,2029,380.8952380952396
Kiribati,2030,396.2380952380954
Kosovo,2026,12305.066666666651
Kosovo,2027,12991.46666666679
Kosovo,2028,13677.866666666698
Kosovo,2029,14364.266666666605
Kosovo,2030,15050.666666666744
Kuwait,2026,175178.4666666668
Kuwait,2027,181473.98095238023
Kuwait,2028,187769.49523809552
Kuwait,2029,194065.00952380896
Kuwait,2030,200360.52380952425
Kyrgyzstan,2026,22267.799999999814
Kyrgyzstan,2027,24709.31428571418
Kyrgyzstan,2028,27150.828571428545
Kyrgyzstan,2029,29592.34285714291
Kyrgyzstan,2030,32033.857142857276
Laos,2026,14652.333333333256
Laos,2027,14108.047619047575
Laos,2028,13563.761904761894
Laos,2029,13019.476190476213
Laos,2030,12475.190476190532
Latvia,2026,48340.266666667536
Latvia,2027,50664.43809523899
Latvia,2028,52988.609523810446
Latvia,2029,55312.7809523819
Latvia,2030,57636.95238095336
Lebanon,2026,28451.799999999814
Lebanon,2027,29495.100000000093
Lebanon,2028,30538.399999999907
Lebanon,2029,31581.69999999972
Lebanon,2030,32625.0
Lesotho,2026,2398.6666666666642
Lesotho,2027,2429.8095238095193
Lesotho,2028,2460.9523809523744
Lesotho,2029,2492.0952380952367
Lesotho,2030,2523.238095238092
Liberia,2026,5647.79999999993
Liberia,2027,6076.028571428498
Liberia,2028,6504.257142857066
Liberia,2029,6932.4857142856345
Liberia,2030,7360.714285714203
Libya,2026,45611.26666666684
Libya,2027,46310.15238095238
Libya,2028,47009.03809523815
Libya,2029,47707.92380952393
Libya,2030,48406.8095238097
